timestamp,date,tic,day,open,high,low,close,volume
1514,2021-12-29,BNBUSDT,2,534.2,540.5,510.3,514.5,740117.867
1514,2021-12-29,BTCUSDT,2,47543.74,48139.08,46096.99,46464.66,39498.87
1514,2021-12-29,ETHUSDT,2,3792.75,3827.78,3604.2,3630.19,302753.6375
1515,2021-12-30,BNBUSDT,3,514.5,527.8,508.3,518.5,639166.717
1515,2021-12-30,BTCUSDT,3,46464.66,47900.0,45900.0,47120.87,30352.29569
1515,2021-12-30,ETHUSDT,3,3630.18,3769.1,3585.0,3709.27,249263.7305
1516,2021-12-31,BNBUSDT,4,518.6,528.3,506.0,511.4,677844.749
1516,2021-12-31,BTCUSDT,4,47120.88,48548.26,45678.0,46216.93,34937.99796
1516,2021-12-31,ETHUSDT,4,3709.27,3815.0,3622.29,3676.23,268014.2942
1517,2022-01-01,BNBUSDT,5,511.5,527.9,511.4,527.3,446171.541
1517,2022-01-01,BTCUSDT,5,46216.93,47954.63,46208.37,47722.65,19604.46325
1517,2022-01-01,ETHUSDT,5,3676.22,3776.45,3673.46,3765.54,154143.8968
1518,2022-01-02,BNBUSDT,6,527.4,533.9,518.0,531.0,404475.541
1518,2022-01-02,BTCUSDT,6,47722.66,47990.0,46654.0,47286.18,18340.4604
1518,2022-01-02,ETHUSDT,6,3765.54,3857.44,3717.3,3828.27,154791.4263
1519,2022-01-03,BNBUSDT,0,531.0,532.8,510.0,511.9,663841.021
1519,2022-01-03,BTCUSDT,0,47286.18,47570.0,45696.0,46446.1,27662.0771
1519,2022-01-03,ETHUSDT,0,3828.11,3853.09,3680.0,3765.89,236245.8586
1520,2022-01-04,BNBUSDT,1,511.9,520.0,502.0,506.9,687436.638
1520,2022-01-04,BTCUSDT,1,46446.1,47557.54,45500.0,45832.01,35491.4136
1520,2022-01-04,ETHUSDT,1,3765.89,3900.73,3713.11,3785.11,288258.5549
1521,2022-01-05,BNBUSDT,2,506.9,516.0,457.0,474.1,985152.004
1521,2022-01-05,BTCUSDT,2,45832.01,47070.0,42500.0,43451.13,51784.11857
1521,2022-01-05,ETHUSDT,2,3785.1,3848.0,3415.0,3540.63,397942.0363
